"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Create course","Administration service","Wed Feb 04 10:12:12 UTC 2026","passed","Wed Feb 04 10:12:12 UTC 2026","TestCourses","courses","",""
"","12","Get file","LMS service","Wed Feb 04 10:12:17 UTC 2026","passed","Wed Feb 04 10:12:17 UTC 2026","TestsFiles","files","",""
"","21","Delete file","LMS service","Wed Feb 04 10:12:19 UTC 2026","passed","Wed Feb 04 10:12:19 UTC 2026","TestsFiles","files","",""
"","285","Create user with mail.ru","LMS service","Wed Feb 04 10:12:20 UTC 2026","passed","Wed Feb 04 10:12:20 UTC 2026","TestUser","users","",""
"","283","Login with valid credentials","LMS service","Wed Feb 04 10:12:10 UTC 2026","passed","Wed Feb 04 10:12:10 UTC 2026","Login","authentication","",""
"","21","Create exercise","LMS service","Wed Feb 04 10:12:13 UTC 2026","passed","Wed Feb 04 10:12:13 UTC 2026","TestExercises","exercises","",""
"","20","Delete exercise","LMS service","Wed Feb 04 10:12:15 UTC 2026","passed","Wed Feb 04 10:12:15 UTC 2026","TestExercises","exercises","",""
"","19","Upload file with empty file name","LMS service","Wed Feb 04 10:12:18 UTC 2026","passed","Wed Feb 04 10:12:18 UTC 2026","TestsFiles","files","",""
"","18","Update exercise","LMS service","Wed Feb 04 10:12:14 UTC 2026","passed","Wed Feb 04 10:12:14 UTC 2026","TestExercises","exercises","",""
"","17","Get exercises","LMS service","Wed Feb 04 10:12:16 UTC 2026","passed","Wed Feb 04 10:12:16 UTC 2026","TestExercises","exercises","",""
"","286","Create user with gmail.com","LMS service","Wed Feb 04 10:12:20 UTC 2026","passed","Wed Feb 04 10:12:20 UTC 2026","TestUser","users","",""
"","28","Update course","Administration service","Wed Feb 04 10:12:11 UTC 2026","passed","Wed Feb 04 10:12:11 UTC 2026","TestCourses","courses","",""
"","15","Get user me","LMS service","Wed Feb 04 10:12:21 UTC 2026","passed","Wed Feb 04 10:12:21 UTC 2026","TestUser","users","",""
"","15","Get exercise","LMS service","Wed Feb 04 10:12:14 UTC 2026","passed","Wed Feb 04 10:12:14 UTC 2026","TestExercises","exercises","",""
"","17","Upload file with empty directory","LMS service","Wed Feb 04 10:12:18 UTC 2026","passed","Wed Feb 04 10:12:18 UTC 2026","TestsFiles","files","",""
"","26","Get courses","Administration service","Wed Feb 04 10:12:12 UTC 2026","passed","Wed Feb 04 10:12:12 UTC 2026","TestCourses","courses","",""
"","284","Create user with example.com","LMS service","Wed Feb 04 10:12:20 UTC 2026","passed","Wed Feb 04 10:12:20 UTC 2026","TestUser","users","",""
"","18","Upload file","LMS service","Wed Feb 04 10:12:16 UTC 2026","passed","Wed Feb 04 10:12:16 UTC 2026","Create entity","files","",""
"","14","Get file with incorrect file id","LMS service","Wed Feb 04 10:12:19 UTC 2026","passed","Wed Feb 04 10:12:19 UTC 2026","TestsFiles","files","",""
